Afghanistan-Areeba Mobile|9377|0.0964|20120418|=
Afghanistan-At Mobile|9375|0.0756|20120418|=
Afghanistan-Awcc Mobile|9370|0.1084|20120418|=
Afghanistan-Etisalat Mobile|9378|0.1063|20120418|=
Afghanistan-Other|93|0.1418|20120418|=
Afghanistan-Roshan Mobile|9379|0.1258|20120418|=
Albania-Amc Mobile|35568|0.1481|20120418|=
Albania-Eagle Mobile|35567|0.1299|20120418|=
Albania-Olo|3554249|0.7033|20120425|+
Albania-Olo|3554250|0.7033|20120425|+
Albania-Olo|3554251|0.7033|20120425|+
Albania-Olo|3554252|0.7033|20120425|+
Albania-Other|355|0.0415|20120418|=
Albania-Plus Mobile|35566|0.1091|20120418|=
Albania-Tirana|355422|0.0405|20120418|=
Albania-Tirana|355423|0.0405|20120418|=
Albania-Tirana|355424|0.0405|20120418|=
Albania-Vodafone Mobile|35569|0.0527|20120425|+
Algeria-Algiers|21320|0.032|20120418|=
Algeria-Algiers|21321|0.032|20120418|=
Algeria-Algiers|21322|0.032|20120418|=
Algeria-Algiers|213982|0.032|20120418|=
Algeria-Algiers|213983|0.032|20120418|=
Algeria-Mpta Mobile|2136|0.0722|20120418|=
Algeria-Mpta Mobile|21398|0.0722|20120418|=
Algeria-Mpta Mobile|21399|0.0722|20120418|=
Algeria-Orascom Mobile|2137|0.143|20120418|=
Algeria-Orascom Mobile|21396|0.143|20120418|=
Algeria-Other|213|0.0329|20120418|=
Algeria-Wataniya Mobile|2135|0.1579|20120418|=
American Samoa-Mobile|16842|0.0176|20120418|=
American Samoa-Mobile|168473|0.0176|20120418|=
American Samoa-Other|1684|0.0217|20120418|=
Andorra-Mobile|3763|0.0678|20120419|-
Andorra-Mobile|3764|0.0678|20120419|-
Andorra-Mobile|3766|0.0678|20120419|-
Andorra-Other|376|0.011|20120418|=
Angola-Movicel Mobile|24491|0.0476|20120418|=
Angola-Movicel Mobile|24499|0.0476|20120418|=
Angola-Other|244|0.048|20120418|=
Angola-Unitel Mobile|24492|0.0486|20120418|=
Angola-Unitel Mobile|24493|0.0486|20120418|=
Anguilla-Digicel Mobile|1264536|0.1033|20120425|+
Anguilla-Digicel Mobile|1264537|0.1033|20120425|+
Anguilla-Digicel Mobile|1264538|0.1033|20120425|+
Anguilla-Digicel Mobile|1264539|0.1033|20120425|+
Anguilla-Digicel Mobile|1264543|0.1033|20120425|+
Anguilla-Digicel Mobile|1264581|0.1033|20120425|+
Anguilla-Digicel Mobile|1264582|0.1033|20120425|+
Anguilla-Digicel Mobile|1264583|0.1033|20120425|+
Anguilla-Digicel Mobile|1264584|0.1033|20120425|+
Anguilla-Mobile|1264235|0.0441|20120418|=
Anguilla-Mobile|1264469|0.0441|20120418|=
Anguilla-Mobile|1264476|0.0441|20120418|=
Anguilla-Mobile|1264729|0.0441|20120418|=
Anguilla-Mobile|1264772|0.0441|20120418|=
Anguilla-Other|1264|0.0388|20120418|=
Antarctica-All Country|6721|0.1033|20120418|=
Antigua & Barbuda-Mobile|1268464|0.0386|20120418|=
Antigua & Barbuda-Mobile|126872|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268732|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268734|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268736|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268764|0.0386|20120418|=
Antigua & Barbuda-Mobile|126877|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268780|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268781|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268782|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268783|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268784|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268785|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268786|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268788|0.0386|20120418|=
Antigua & Barbuda-Mobile|1268789|0.0386|20120418|=
Antigua & Barbuda-Other|1268|0.0595|20120418|=
Argentina-Buenos Aires|5411|0.0029|20120418|=
Argentina-Central|54230|0.0049|20120418|=
Argentina-Central|54232|0.0049|20120418|=
Argentina-Central|54291|0.0049|20120418|=
Argentina-Central|54299|0.0049|20120418|=
Argentina-Central|54342|0.0049|20120418|=
Argentina-Central|54348|0.0049|20120418|=
Argentina-Central|54353|0.0049|20120418|=
Argentina-Central|54358|0.0049|20120418|=
Argentina-Central|54381|0.0049|20120418|=
Argentina-Central|54387|0.0049|20120418|=
Argentina-Cordoba|54351|0.0047|20120418|=
Argentina-La Plata|54221|0.0047|20120418|=
Argentina-Mar Del Plata|54223|0.0047|20120418|=
Argentina-Mendoza|54261|0.0047|20120418|=
