Australia-Canberra|61262|0.0110|20120106|=
Australia-External Territories|61891|0.1338|20120201|=
Australia-Melbourne|6138|0.0109|20120223|=
Australia-Melbourne|6139|0.0109|20120223|=
Australia-Mobile|611|0.1544|20120201|=
Australia-Mobile|614|0.1544|20100611|=
Australia-Mobile H3G|61425|0.1544|20120201|=
Australia-Mobile H3G|61430|0.1544|20100611|=
Australia-Mobile H3G|61433|0.1544|20100611|=
Australia-Mobile Optus|61401|0.1544|20100611|=
Australia-Mobile Optus|61402|0.1544|20100611|=
Australia-Mobile Optus|61403|0.1544|20100611|=
Australia-Mobile Optus|61411|0.1544|20100611|=
Australia-Mobile Optus|61412|0.1544|20100611|=
Australia-Mobile Optus|61413|0.1544|20100611|=
Australia-Mobile Optus|61421|0.1544|20100611|=
Australia-Mobile Optus|61422|0.1544|20100611|=
Australia-Mobile Optus|61423|0.1544|20100611|=
Australia-Mobile Optus|61431|0.1544|20100611|=
Australia-Mobile Optus|61432|0.1544|20100611|=
Australia-Mobile Optus|61434|0.1544|20100611|=
Australia-Mobile Optus|61435|0.1544|20100611|=
Australia-Mobile Optus|61466|0.1544|20120201|=
Australia-Mobile Optus|61468|0.1544|20120201|=
Australia-Mobile Optus|61478|0.1544|20120201|=
Australia-Mobile Optus|61479|0.1544|20120201|=
Australia-Mobile Telstra|61400|0.1544|20100611|=
Australia-Mobile Telstra|61407|0.1544|20100611|=
Australia-Mobile Telstra|61408|0.1544|20100611|=
Australia-Mobile Telstra|61409|0.1544|20100611|=
Australia-Mobile Telstra|61417|0.1544|20100611|=
Australia-Mobile Telstra|61418|0.1544|20100611|=
Australia-Mobile Telstra|61419|0.1544|20100611|=
Australia-Mobile Telstra|61427|0.1544|20100611|=
Australia-Mobile Telstra|61428|0.1544|20100611|=
Australia-Mobile Telstra|61429|0.1544|20100611|=
Australia-Mobile Telstra|61437|0.1544|20100611|=
Australia-Mobile Telstra|61438|0.1544|20100611|=
Australia-Mobile Telstra|61439|0.1544|20100611|=
Australia-Mobile Telstra|61440|0.1544|20120201|=
Australia-Mobile Telstra|614444|0.1544|20120201|=
Australia-Mobile Telstra|61447|0.1544|20100611|=
Australia-Mobile Telstra|61448|0.1544|20100611|=
Australia-Mobile Telstra|61457|0.1544|20120201|=
Australia-Mobile Telstra|61458|0.1544|20100611|=
Australia-Mobile Telstra|61459|0.1544|20120201|=
Australia-Mobile Telstra|61467|0.1544|20120201|=
Australia-Mobile Telstra|61477|0.1544|20120201|=
Australia-Mobile Telstra|61487|0.1544|20120201|=
Australia-Mobile Telstra|61488|0.1544|20100611|=
Australia-Mobile Telstra|61498|0.1544|20120201|=
Australia-Mobile Telstra|61499|0.1544|20120201|=
Australia-Mobile Vodafone|61404|0.1544|20100611|=
Australia-Mobile Vodafone|61405|0.1544|20100611|=
Australia-Mobile Vodafone|61406|0.1544|20100611|=
Australia-Mobile Vodafone|61410|0.1544|20100611|=
Australia-Mobile Vodafone|61414|0.1544|20100611|=
Australia-Mobile Vodafone|61415|0.1544|20100611|=
Australia-Mobile Vodafone|61416|0.1544|20100611|=
Australia-Mobile Vodafone|614202|0.1544|20100611|=
Australia-Mobile Vodafone|614203|0.1544|20100611|=
Australia-Mobile Vodafone|614204|0.1544|20100611|=
Australia-Mobile Vodafone|614205|0.1544|20100611|=
Australia-Mobile Vodafone|614206|0.1544|20100611|=
Australia-Mobile Vodafone|614207|0.1544|20100611|=
Australia-Mobile Vodafone|614208|0.1544|20100611|=
Australia-Mobile Vodafone|614209|0.1544|20100611|=
Australia-Mobile Vodafone|61424|0.1544|20100611|=
Australia-Mobile Vodafone|61426|0.1544|20120201|=
Australia-Mobile Vodafone|61449|0.1544|20100611|=
Australia-Mobile Vodafone|61450|0.1544|20100611|=
Australia-Mobile Vodafone|61451|0.1544|20100611|=
Australia-Mobile Vodafone|61452|0.1544|20120201|=
Australia-Mobile Vodafone|61453|0.1544|20120201|=
Australia-Perth|6186|0.0153|20100611|=
Australia-Perth|61892|0.0153|20100611|=
Australia-Perth|61893|0.0153|20100611|=
Australia-Perth|61894|0.0153|20100611|=
Australia-Satellite|6114|0.1338|20120201|=
Australia-Sydney|6128|0.0094|20120312|=
Australia-Sydney|6129|0.0094|20120312|=
Austria|43|0.0136|20120106|=
Austria-Corporate Services|4350|0.2999|20120201|=
Austria-Corporate Services|43517|0.2999|20120201|=
Austria-Corporate Services|4357|0.2999|20120201|=
Austria-Corporate Services|4359|0.2999|20120201|=
Austria-Mobile|43661|0.0973|20100611|=
Austria-Mobile|43663|0.0973|20120201|=
Austria-Mobile|43665|0.0973|20100611|=
Austria-Mobile|43666|0.0973|20120201|=
Austria-Mobile|43667|0.0973|20100611|=
Austria-Mobile|43668|0.0973|20100611|=
Austria-Mobile|43669|0.0973|20120201|=
Austria-Mobile A1|43644|0.0973|20120201|=
Austria-Mobile A1|43664|0.0876|20100611|=
Austria-Mobile A1|43680|0.0876|20100611|=
Austria-Mobile Connect|43681|0.0926|20100611|=
Austria-Mobile Connect|43699|0.0926|20100611|=
Austria-Mobile H3G|43660|0.1751|20120217|=
Austria-Mobile H3G|43678|0.1751|20120217|=
Austria-Mobile H3G|43688|0.1751|20120217|=
Austria-Mobile T-Mobile|43676|0.0876|20100611|=
Austria-Mobile T-Mobile|43677|0.0876|20120201|=
Austria-Mobile Telering|43650|0.0905|20100611|=
Austria-NGN|4311|0.2999|20120201|=
Austria-NGN|43710|0.2999|20120201|=
Austria-NGN|43711|0.2999|20110413|=
Austria-NGN|43718|0.2999|20120201|=
Austria-NGN|43720|0.2999|20110413|=
Austria-NGN|43730|0.2999|20110413|=
Austria-NGN|43740|0.2999|20110413|=
Austria-NGN|43780|0.2999|20110413|=
